company,equity_ratio_mean,equity_ratio_std,debt_ratio_mean,debt_ratio_std,debt_to_equity_mean,debt_to_equity_std,equity_multiplier_mean,equity_multiplier_std,current_ratio_mean,current_ratio_std,working_capital_ratio_mean,working_capital_ratio_std,cash_ratio_mean,cash_ratio_std,fixed_asset_ratio_mean,fixed_asset_ratio_std,tangible_asset_ratio_mean,tangible_asset_ratio_std,intangible_asset_ratio_mean,intangible_asset_ratio_std,financial_asset_ratio_mean,financial_asset_ratio_std,inventory_ratio_mean,inventory_ratio_std,receivables_ratio_mean,receivables_ratio_std,cash_to_assets_ratio_mean,cash_to_assets_ratio_std,provisions_ratio_mean,provisions_ratio_std,untaxed_reserves_ratio_mean,untaxed_reserves_ratio_std
Arboga Bilskrot AB,0.383481136943514,0.11441919693197554,0.616518863056486,0.11441919693197554,1.7951699458197858,0.8388361861913869,2.7951699458197856,0.8388361861913869,1.7448390273592664,0.32902914833642105,0.11341167444511431,0.053112101142205645,0.025792745131517872,0.021844398325575443,0.7171931640428308,0.10986888208332582,0.612413374091655,0.030729924813639672,0.0,0.0,0.10477978995117594,0.1210132211106088,0.1455003203081348,0.07364291642077096,0.02355815172596797,0.028778422741071993,0.0036962678542410287,0.0028787438203318207,0.0,0.0,0.0,0.0
Autocirc Svensk Bilåtervinning AB,0.47905664055529085,0.20026912297928015,0.5209433594447092,0.20026912297928015,1.6934199182567569,1.9331672794000565,2.693419918256757,1.9331672794000563,2.9262155663925022,1.2292272807944757,0.4781590039994341,0.22884005524553644,1.2473660495920895,0.9603473366965622,0.16127965187846152,0.015929785721354433,0.1328405891310107,0.03130299700549927,0.0,0.0,0.028439062747450793,0.016478513047863283,0.3059846009496017,0.04017145272641035,0.07236502747026492,0.012192987286370492,0.2917810104831696,0.20279592605816257,0.025856627546540962,0.016241869095472403,0.12834935999248862,0.06147500291513177
Bilåtervinning i Tibro AB,0.6719267112132663,0.0628961523738509,0.3280732887867337,0.06289615237385093,0.4984689600838561,0.14573684631440084,1.498468960083856,0.14573684631440081,3.6115292870444433,0.5557831336366204,0.4720643595082393,0.02417934871373491,0.22179979950746492,0.3146159338583385,0.34211310567294495,0.025597705130271372,0.314193870788272,0.024241801752418628,0.0,0.0,0.027919234884672916,0.0022039881110407535,0.5070076720204205,0.031430260877323445,0.05660669353239264,0.026429425545885923,0.0429022722162903,0.0631774948340889,0.0,0.0,0.03866095023257755,0.04465068003478111
Bjuhrs Bil AB,0.5586241626703518,0.06385074756243343,0.44137583732964825,0.06385074756243345,0.8076012008886205,0.20418866892308618,1.8076012008886204,0.20418866892308626,2.3656974969080813,0.2908749828564294,0.37907455501465903,0.05524767493956681,1.2948038653824696,0.13123689621767254,0.3393781564609748,0.05230732460865628,0.3393781564609748,0.05230732460865628,0.0,0.0,0.0,0.0,0.16642971103301404,0.053961940354104725,0.06433820645920815,0.019133900763210105,0.36378677964338035,0.04905258982224884,0.0,0.0,0.045407352129205394,0.04859808020611136
Ekholms Bildemontering AB,0.24006398810530724,0.11540248059044055,0.7599360118946927,0.11540248059044048,4.018990611878543,2.377545793699434,5.018990611878543,2.377545793699434,1.8817519656259267,0.11398562003008336,0.4410601737363271,0.036837934398689584,1.2887311673373691,0.42078162706715105,0.05631060379883349,0.02825046177083604,0.020030637434632743,0.015511441342487935,0.0,0.0,0.03627996636420075,0.013482715632632798,0.02999558888398765,0.0599911777679753,0.06379820928840282,0.04956558081670949,0.6475620535640269,0.20628666116788644,0.0,0.0,0.25713073309182516,0.12947263476979085
Köpings Bildemontering AB,0.32054044329226106,0.12036422387345193,0.6794595567077389,0.12036422387345194,2.482384990014735,1.2939584178575485,3.482384990014735,1.2939584178575487,9.015182675962759,6.505702256401262,0.6759520254837739,0.05595884026785495,4.483535714469312,3.2409724054767146,0.19965237318020843,0.1089928566477901,0.19965237318020843,0.1089928566477901,0.0,0.0,0.0,0.0,0.3760117368742381,0.061075307697270445,0.008481725624572204,0.0027350248397471303,0.41551148496794893,0.139685880439432,0.0,0.0,0.03544165757906216,0.07088331515812432
Mariestads Bildemontering och Återvinningsteknik AB,0.708768604680166,0.05360470963056123,0.29123139531983394,0.053604709630561256,0.4170151033174845,0.10807597274905784,1.4170151033174845,0.1080759727490579,2.382685377121216,0.31054304861794235,0.21679798853058857,0.03885441991827839,0.9876812511631186,0.2636703558917402,0.6245880865291924,0.03872791108122236,0.3010523870238436,0.025121135695385,0.0,0.0,0.3234992084821404,0.017676451099299644,0.061544204400440373,0.0170511868350178,0.07460975881938528,0.0583185031824523,0.1582149061390934,0.0509108583805121,0.0,0.0,0.09806662316622256,0.03587382424067495
Nya Högåsens Bildemontering AB,0.44092421105574,0.050573620639203655,0.55907578894426,0.0505736206392036,1.2933220578504359,0.2949320514862145,2.293322057850436,0.29493205148621426,1.6103449434741846,0.3053307608911147,0.282747707501972,0.09917160234734651,0.3275943453794283,0.07984559614809542,0.21652236176324297,0.014043159785463055,0.21652236176324297,0.014043159785463055,0.0,0.0,0.0,0.0,0.5934634869077432,0.06131039017225605,0.0002005787025308464,0.00023172094687356522,0.1684645651554026,0.07520370759600174,0.0,0.0,0.0,0.0
Vingåkers Bilskrot AB,0.2612670789624596,0.14036679637539515,0.7387329210375404,0.14036679637539515,3.6778556768307573,2.304197724980211,4.677855676830758,2.304197724980211,9.310542990982201,13.2198984148571,0.38209091291092956,0.5595818101392143,7.086815925870539,9.49973551789214,0.378914168960917,0.34522231901123995,0.26609994031259565,0.3346157216083861,9.310986964618249e-05,0.00018621973929236498,0.11281422864832127,0.013055145927306578,0.03120345203453336,0.039596585746535795,0.16202364325618515,0.3069129411999456,0.5232099063857507,0.2386606064497523,0.0,0.0,0.009354633157964858,0.01352505776610652
Örebro Bildemontering AB,0.8434313398648488,0.009133855162348629,0.1565686601351512,0.009133855162348629,0.1857382231422235,0.012959734847691919,1.1857382231422235,0.01295973484769181,4.073003747728401,0.6616903648934667,0.4638448980229955,0.08778665304150088,0.784092064609169,0.4858945465719168,0.3843106558944795,0.08398140203578035,0.3819126415797764,0.08432216200855328,0.0,0.0,0.002402983802050788,0.00041649302339861344,0.1647604044321048,0.031624840356806405,0.10514637884960744,0.0026387792059272513,0.11768107325333381,0.07090561429284475,0.004721459166071472,0.0016632355893510867,0.0,0.0
